[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.29747793 0.95687264],[0.80491803 0.45409836],[0.30491803 0.45409836],
[0.81235813 0.95132409],[0.31235813 0.95132409],[0.81979823 0.44854981],
[0.31979823 0.44854981],[0.82723834 0.94577554],[0.32723834 0.94577554],
[0.83467844 0.44300126],[0.33467844 0.44300126],[0.84211854 0.94022699],
[0.34211854 0.94022699],[0.84955864 0.43745271],[0.34955864 0.43745271],
[0.85699874 0.93467844],[0.35699874 0.93467844],[0.86443884 0.43190416],
[0.36443884 0.43190416],[0.87187894 0.92912989],[0.37187894 0.92912989],
[0.87931904 0.42635561],[0.37931904 0.42635561],[0.88675914 0.92358134],
[0.38675914 0.92358134],[0.89419924 0.42080706],[0.39419924 0.42080706],
[0.90163934 0.91803279],[0.40163934 0.91803279],[0.90907945 0.41525851],
[0.40907945 0.41525851],[0.91651955 0.91248424],[0.41651955 0.91248424],
[0.92395965 0.40970996],[0.42395965 0.40970996],[0.93139975 0.90693569],
[0.43139975 0.90693569],[0.93883985 0.40416141],[0.43883985 0.40416141],
[0.94627995 0.90138714],[0.44627995 0.90138714],[0.95372005 0.39861286],
[0.45372005 0.39861286],[0.96116015 0.89583859],[0.46116015 0.89583859],
[0.96860025 0.39306431],[0.46860025 0.39306431],[0.97604035 0.89029004],
[0.47604035 0.89029004],[0.98348045 0.38751576],[0.48348045 0.38751576],
[0.99092055 0.88474149],[0.49092055 0.88474149],[0.99836066 0.38196721],
[0.49836066 0.38196721],[0.00580076 0.87919294],[0.50580076 0.87919294],
[0.01324086 0.37641866],[0.51324086 0.37641866],[0.02068096 0.87364439],
[0.52068096 0.87364439],[0.02812106 0.37087011],[0.52812106 0.37087011],
[0.03556116 0.86809584],[0.53556116 0.86809584],[0.04300126 0.36532156],
[0.54300126 0.36532156],[0.05044136 0.86254729],[0.55044136 0.86254729],
[0.05788146 0.35977301],[0.55788146 0.35977301],[0.06532156 0.85699874],
[0.56532156 0.85699874],[0.07276166 0.35422446],[0.57276166 0.35422446],
[0.08020177 0.85145019],[0.58020177 0.85145019],[0.08764187 0.34867591],
[0.58764187 0.34867591],[0.09508197 0.84590164],[0.59508197 0.84590164],
[0.10252207 0.34312736],[0.60252207 0.34312736],[0.10996217 0.84035309],
[0.60996217 0.84035309],[0.11740227 0.33757881],[0.61740227 0.33757881],
[0.12484237 0.83480454],[0.62484237 0.83480454],[0.13228247 0.33203026],
[0.63228247 0.33203026],[0.13972257 0.82925599],[0.63972257 0.82925599],
[0.14716267 0.32648172],[0.64716267 0.32648172],[0.15460277 0.82370744],
[0.65460277 0.82370744],[0.16204288 0.32093317],[0.66204288 0.32093317],
[0.16948298 0.81815889],[0.66948298 0.81815889],[0.17692308 0.31538462],
[0.67692308 0.31538462],[0.18436318 0.81261034],[0.68436318 0.81261034],
[0.19180328 0.30983607],[0.69180328 0.30983607],[0.19924338 0.80706179],
