[0.70098039 0.16984428],[0.17647059 1.05026154],[0.87091503 1.24668009],
[0.80882353 0.35008718],[0.44771242 1.33217993],[0.38562092 0.43558702],
[0.05228758 1.20161937],[0.68464052 0.501445  ],[0.18137255 0.19064153],
[0.16013072 1.38186227],[0.26143791 0.58694484],[0.26797386 0.38359387],
[0.56045752 0.65280283],[0.37581699 0.56383678],[0.64705882 0.84575517],
[0.25163399 0.7151946 ],[0.94607843 0.91161315],[0.88398693 0.01502024],
[0.52287582 0.99711299],[0.46078431 0.10052008],[0.63071895 1.1773559 ],
[0.12745098 0.86655243],[0.75980392 0.16637807],[0.23529412 1.04679533],
[0.90849673 1.25592332],[0.50653595 1.32871372],[0.84640523 0.35933041],
[0.34313725 0.04852694],[0.5130719  1.12536275],[0.08986928 1.21086259],
[0.02777778 0.31426968],[0.72222222 0.51068823],[0.19771242 1.3911055 ],
[0.21895425 0.19988476],[0.32679739 0.38012767],[0.60457516 0.45869509],
[0.20261438 0.53148549],[0.70588235 0.84228896],[0.7124183  0.63893799],
[0.28921569 0.72443783],[0.98366013 0.92085638],[0.92156863 0.02426347],
[0.58823529 0.79029581],[0.16503268 0.87579565],[0.69607843 0.97053872],
[0.27287582 1.05603856],[0.96732026 1.25245711],[0.40196078 0.04506073],
[0.14869281 1.20739638],[0.65849673 1.31484888],[0.67973856 0.12362815],
[0.27777778 0.19641855],[0.7875817  0.30387105],[0.95751634 1.38070687],
[0.36437908 0.38937089],[0.0245098  1.35875421],[0.13888889 1.33564614],
[0.66339869 0.45522888],[0.24019608 0.54072872],[0.77124183 0.63547178],
[0.34803922 0.72097162],[0.24673203 0.33737775],[0.62581699 0.79953904],
[0.22385621 0.87232944],[0.73366013 0.97978195],[0.23039216 0.66897847],
[0.31045752 1.06528178],[0.33823529 0.84922138],[0.43954248 0.05430395],
[0.60947712 1.13113977],[0.73856209 0.12016194],[0.21405229 1.0005792 ],
[0.48529412 1.28249759],[0.30065359 1.19353154],[0.42320261 0.38590468],
